text,group
saw a porsche at carros look like blackbird sia,btohqsg
Is there a black 350z ? anyone see it bfr,btohqsg
I JUST SAW A ALL CARBON GTR WITH RED RIMS,btohqsg
BUT HE GOING TO FAST TO TAKE PIC,btohqsg
The r8 full carbon widebody 💀,btohqsg
ya i actually like carbon kevlar,btohqsg
eh what is the engine code for the s15 ah,btohqsg
there is one more there which is white color,btohqsg
Where the evo with the underglow,btohqsg
The yellow one right have underglow or isit blue,btohqsg
there is a few evo with underglow,btohqsg
wah 70 more ppl till 1k sia,btohqsg
Wait if i import my LHD car it has to be special plate right?,btohqsg
So yall will be at 19 25 meet up?,btohqsg
left hand drive cars not legal in sg,btohqsg
Eh i thot i saw special plate b4,btohqsg
That one cnfrm just show car or smtg,btohqsg
das why bugatti all private owners,btohqsg
But it was shitty leh like a stock ford focus js driving around,btohqsg
cause sg cant import for registration,btohqsg
wasting money when you cant drive,btohqsg
ouhhh is it rhe diplomatic cars,btohqsg
But me and my friends thinking of importing our cars in cos we got no sgp cars,btohqsg
Only exceptions are foreign vehicles for temporary use  diplomatic vehicles with special number plates or test vehicles.,btohqsg
Watch race in real life ❌Watch race on zenly✅,btohqsg
U in the another grp anot,btohqsg
idk if i can share but here,btohqsg
Horizon Drivers Club is hosting a car meet at The Oval @ Seletar from 9-11pm at 19 June 2022. They will also be having their first ever merch drop on that day  so do keep a lookout! 🤩For more information  do join their groupchat:https://t.me/joinchat/b0xXkIJxDMk5ODY1,btohqsg
wah if 10k even more best,btohqsg
okay that one abit unrealistic ah HAHA,btohqsg
i don think theres that much jdm cars driver,btohqsg
the theme for the meet isnt jdm,btohqsg
i mean tbf if you consider every toyota snd nissan you see a JDM,btohqsg
i js realised this chat grp got 100 members edi,btohqsg
just thumbs up if u agree with me,btohqsg
but then@devil_Z_666need help me ah hehe,btohqsg
Im shitting with a fucking view,btohqsg
Even in malaysia cnnt shit in peace,btohqsg
always got someone wan to watch,btohqsg
ur taik looking kinda hot 😘,btohqsg
what do we do once we reach 1k,btohqsg
My main acc cant type so i had to use this acc 😂,btohqsg
ask some people with high ig followers to boost ah,btohqsg
idk yall help promo oso can alr HAHA,btohqsg
any of yall know this cars ig?,btohqsg
NO WAY GUYS CAR MEET AT NORTHPOINT 😱😱😱😱,btohqsg
Try to find under teamm3ntal on ig? I nvr search for M3s in a long time alrd,btohqsg
OMG I WAS TYPING THE SAME 🥲,btohqsg
1k host hot wheels car meet HAHA,btohqsg
lemme make it 999 real quick,btohqsg
