text,group
Wahhhh i thought u say u not putting,btohqsg
Guys and ladies with CF hood  does it come with undertray? If have undertray  are the vents still functional ?,btohqsg
Hahaha. I got pm him also. Waiting his reply ;),btohqsg
Doesn’t come with under tray and no  the vents are not functional?,btohqsg
i meant the hood may or may not come with undertray. and if you install the undertray  the vents wont be functional,btohqsg
Unless u got open pod and loose wiring  you dont really have to be concerned if water gets to engine bay,btohqsg
Open pod with vented bonnets as long as it's in a location wont kena wet,btohqsg
if not enlist alr and die,btohqsg
Selling CF Parts (by Pre-order only).50% deposit required.Let me know car and what CF yall wanna get,btohqsg
Bc this is super cheap! 180 voltex type 5 bro,btohqsg
And check by brakes  got sound alr,btohqsg
Photo of ur work? So other can see and buy,btohqsg
Sell beemer first  get rexy run first,btohqsg
Then see if enough get back one cs3,btohqsg
Not like 2 years ago just jump and buy...,btohqsg
Surprising it doesn't look humongous on my cs2 leh,btohqsg
Will cause alot of drag though,btohqsg
Not gonna speed so it's fine,btohqsg
Now left front lips to settle,btohqsg
Can't wait for the final look of your car,btohqsg
I can join you at the back liao. Slow car,btohqsg
@Gerardo85hyour shift knob is which kind one,btohqsg
i am shopping for shift knob,btohqsg
Hybrid racing  but I have a skunk2 one to let go as well. It's currently with@weeweeyouoyou,btohqsg
Does it get really hot in the day?,btohqsg
Plus my gearbox is direct linkage  the heat will get to the knob also,btohqsg
i kinda want a metal knob but i dowan it to be too hot to touch,btohqsg
Under the sun yes  but I only like the metal ones. I tried a cf one didn't like at all,btohqsg
I am using CF one now also,btohqsg
other than the way it looks,btohqsg
anyone know where got sell car detailing products other than autobacs?,btohqsg
Cf has a very plastic feel to the touch,btohqsg
i am fine with plastic feel,btohqsg
but the CF one attracts alot of dirt,btohqsg
The glossy surface causes alot of dirt build up,btohqsg
As far as i know only autobacs. unless you buy from supplier direct,btohqsg
Why you need car detailing products wheen you have@ishengjie?,btohqsg
still like to ownself clean the car feels nicer 😂,btohqsg
Try the brisket or the smoke one,btohqsg
Fries don't go for the coney... Just the plain ones,btohqsg
wah the smell from outside alr can smell,btohqsg
I just went there last Saturday... Damn shiok,btohqsg
When too broke to find@ishengjiethen got to do it yourself,btohqsg
next time must try the ribs,btohqsg
The one in the plastic is the cheese steak right,btohqsg
That one not to my liking  but everything else there solid 👍,btohqsg
The sauce same as the coney fries,btohqsg
But I got another friend who loves it 😂,btohqsg
I think nvm bah I still thinking leh if want change HAHA,btohqsg
Just to check any new vezel owner overhere,btohqsg
"Wanna check if anyone upgraded the rim size to 19"" any feedback",btohqsg
Hi all does anyone have any detailing shop in jb that I can get car wash products from? Meguiars etc,btohqsg
You go to the forest different from driving forester,btohqsg
@ishengjiebrother in law might be selling his,btohqsg
I don’t even have a yellow miata 🥹,btohqsg
Check out 'Evo 8 original Spoiler/Wing'  available at S$400 on#Carousell:https://carousell.app.link/6n7kKwN7Usb,btohqsg
Cb 10 X of my offer,btohqsg
Wah i just realised that is 2.5turbo,btohqsg
dat day 0808 should have asked to sit,btohqsg
Wanted to pull one small small area show u one,btohqsg
uturn up west coast highway then ecp,btohqsg
Or maybe just $500 cash the $35 from my YouTrip card,btohqsg
I might see the car later... Going the workshop,btohqsg
Clean evo 9 are always the dream,btohqsg
This sat meet at@ishengjie's shop. 9pm onwards! Feel free to drop by!,btohqsg
Dont late for your appointment can alr,btohqsg
I got 3 slots i not scared,btohqsg
Wah roi 2 kaki sat Alex 2 kaki fri,btohqsg
Got slot for me to book on sat?,btohqsg
hi any fd club members here?,btohqsg
pls pm me if there is any fdclub members here.,btohqsg
haha looks like the car in your pic. almost same angle,btohqsg
"you must have gotten a shock ""Who spotted my car!""",btohqsg
Then i come in see 1 porsche i sad,btohqsg
Aiya take my slot liao lor,btohqsg
@ishengjiegive mine to him first lor if i can come i just come by for a while also🥲,btohqsg
I want see his evo. Let him come midnight 😂,btohqsg
He will stay with us one dw,btohqsg
He will want to see his ex car as well🤭,btohqsg
@ishengjiehi bro u at night got slot to wash?,btohqsg
Hi bro ! Saturday night current earliest would be at 2AM,btohqsg
Uhh ok bah can reserve one slot for me,btohqsg
Yeah just give if to others first lor,btohqsg
Are you okay with 8PM ?,btohqsg
Can i check for normal or premium wash ?,btohqsg
Wait ahh i see the list,btohqsg
My rims the brake dust abit gaolat @.@,btohqsg
Soon I think you need online booking system already,btohqsg
Yeah  can show all the available time slot for the day,btohqsg
Do a exceal sheet or Google calender,btohqsg
And hire a secretary to update the excel,btohqsg
Got thought of this  but it will require the consumers to pay upfront  scared they r unwilling to / find it tedious so …,btohqsg
"Check out ""TimeTree - Shared Calendar""https://play.google.com/store/apps/details?id=works.jubilee.timetree",btohqsg
Not sure if this is helpful to you anot..,btohqsg
Hmm play ard with it..as I also 1st time using this app..Hope it's helpful,btohqsg
Same concept as excel but with better UIBut main issue is that the consumers needs to download this app also leh,btohqsg
I’ll try to play with the features also and see how beneficial it is  thanks for sharing! 🙏🏻🙏🏻🙏🏻,btohqsg
Most simplified de is Google calendar..only need our email address which I don't anyone has issue giving it to you so we can all add into it..Alternative will be this add or excel le,btohqsg
Another thing is idw them to edit the schedule / excel (prevent anybody from suka suka reserving/removingslots)So given this calendar / excel  they will only be allowed to seewho’s going on which day and I don’t find this meaningful for both the consumers nor the business leh hmmLet me think,btohqsg
You can control it as admin..Any changes they have to let you know..consumer can only see the slot avaiable,btohqsg
Only way not to be messy..Hire more hands n leg to help you wash,btohqsg
I FOUND IT. MY PREVIOUS WORKPLACE USE THIS,btohqsg
But idk this can let consumer see or not leh,btohqsg
Thanks thanks No worries  i’ll go play with it when i’ve got time,btohqsg
You play online? Any tracks ?,btohqsg
2nd Sep 2022Personal DriverTiming TBC$18/hrs4hrs minBlack Plain Polo TeeOffice pantsOffice shoesMust be ok to drive at least 2 of the following.Inifinity QX80S450L x2BMW 740Lipm me or whatsapp +65 8808 0873,btohqsg
me  but only sepang singleplayer 🤣🤣,btohqsg
Roll you into pancake you wan ? Hahaha,btohqsg
Lol 4 cars value of 1 rr,btohqsg
I need someone who can take up some weekends/ph too,btohqsg
The troublesomepart is client only update me requirement 1 day before needed,btohqsg
Ok I consider first  will WhatsApp you if interested,btohqsg
Ownself add in ah📸 OUR OFFICIAL SOCIAL MEDIAInstagram.com/officialteamscdhttps://vt.tiktok.com/ZSd8uuJCw/-----------------------------✨ DEDICATED WORKSHOP:FDK Leasing & ServicesEnjoy 10% off ALL services just for SCD members!-----------------------------🍻 TRUSTED VALET SERVICEVALET LOR📱 8850 5270instagram.com/valetlor.sgEnjoy $5 off for all SCD member!-----------------------------❤️ BIG BOSS@ODCSS❤️ CHIO BU ADMINInstagram.com/fuwafuwakoup❤️ AHLIAN ADMINinstagram.com/athenathefd2🚪 DOORBOYInstagram.com/drop_gear01👕MECH ADMINhttps://www.instagram.com/thecivicfc📸 PHOTOGRAPHERSInstagram.com/AdwinshootsInstagram.com/_tdgshoots_Instagram.com/car_spotters09Instagram.com/xun.visualsinstagram.com/clickshift.photoInstagram.com/the.dreamy.lenshttps://www.instagram.com/aj_photos__/❤️ MEMBERSInstagram.com/thatsuskoupInstagram.com/tonytannnnnnnnnInstagram.com/yarisedanInstagram.com/iabbear_Instagram.com/boostedglx_Instagram.com/fd1m__Instagram.com/inferno_f10Instagram.com/brendiprolo_34Instagram.com/velostersgInstagram.com/honda_jdm_gkInstagram.com/jxsxph.sInstagram.com/ProjectPengwynInstagram.com/demon_vezzieInstagram.com/zimmy.bobInstagram.com/whitehorse_sginstagram.com/boxxvanInstagram.com/denzel.winstagram.com/16yearolddidiInstagram.com/blueglcInstagram.com/howilson_Instagram.com/bluefitzzInstagram.com/babygabbymk7Instagram.com/itzgrayy_Instagram.com/fake.m2_instagram.com/sgwhitefdInstagram.com/chaojiwhiteInstagram.com/the.street.genieInstagram.com/kennyluafsInstagram.com/audi.shitbox.editioninstagram.com/chrizjuinInstagram.com/tommythekoupInstagram.com/n0t_a_yam3Instagram.com/sfj.m2.sgInstagram.com/v_touranInstagram.com/m.w.qiangInstagram.com/graphitepearl_cl7Instagram.com/murphytjpInstragram.com/whitefd1.8aInstagram.com/bluesonic_rx8Instagram.com/maroonfxtInstagram.com/hk_gk3Instagram.com/w2slow04Instagram.com/the.allblack.civicInstagram.com/M5_darkknightInstagram.com/cl7r_zeaaaaaainstagram.com/notcreative_sgnameinstagram.com/evokorkorinstagram.com/lil_blackfdinstagram.com/swifty_babyinstagram.com/greylittlethreeInstagram.com/s2c.detailingInstagram.com/fakesubieinstagram.com/tommythekoupinstagram.com/gapp3d_5ubbieinstagram.com/dorifto_linieInstagram.com/nik_worksInstagram.com/primariusautodetailingInstagram.com/blacklistedgolfInstagram.com/audi_tt_sg/Instagram.com/w4nkzm081l3Instagram.com/_krystinakaryawan_,btohqsg
Must copy then paste for admin to pin again,btohqsg
U juzt edit. Admin will do their job,btohqsg
Ownself add in ah📸 OUR OFFICIAL SOCIAL MEDIAInstagram.com/officialteamscdhttps://vt.tiktok.com/ZSd8uuJCw/-----------------------------✨ DEDICATED WORKSHOP:FDK Leasing & ServicesEnjoy 10% off ALL services just for SCD members!-----------------------------🍻 TRUSTED VALET SERVICEVALET LOR📱 8850 5270instagram.com/valetlor.sgEnjoy $5 off for all SCD member!-----------------------------❤️ BIG BOSS@ODCSS❤️ CHIO BU ADMINInstagram.com/fuwafuwakoup❤️ AHLIAN ADMINinstagram.com/athenathefd2🚪 DOORBOYInstagram.com/drop_gear01👕MECH ADMINhttps://www.instagram.com/thecivicfc🚘📸🚘 TEAM PHOTOGRAPHERS 🚘📸🚘Instagram.com/Adwinshoots📸 PHOTOGRAPHERSInstagram.com/_tdgshoots_Instagram.com/car_spotters09Instagram.com/xun.visualsinstagram.com/clickshift.photoInstagram.com/the.dreamy.lenshttps://www.instagram.com/aj_photos__/❤️ MEMBERSInstagram.com/thatsuskoupInstagram.com/tonytannnnnnnnnInstagram.com/yarisedanInstagram.com/iabbear_Instagram.com/boostedglx_Instagram.com/fd1m__Instagram.com/inferno_f10Instagram.com/brendiprolo_34Instagram.com/velostersgInstagram.com/honda_jdm_gkInstagram.com/jxsxph.sInstagram.com/ProjectPengwynInstagram.com/demon_vezzieInstagram.com/zimmy.bobInstagram.com/whitehorse_sginstagram.com/boxxvanInstagram.com/denzel.winstagram.com/16yearolddidiInstagram.com/blueglcInstagram.com/howilson_Instagram.com/bluefitzzInstagram.com/babygabbymk7Instagram.com/itzgrayy_Instagram.com/fake.m2_instagram.com/sgwhitefdInstagram.com/chaojiwhiteInstagram.com/the.street.genieInstagram.com/kennyluafsInstagram.com/audi.shitbox.editioninstagram.com/chrizjuinInstagram.com/tommythekoupInstagram.com/n0t_a_yam3Instagram.com/sfj.m2.sgInstagram.com/v_touranInstagram.com/m.w.qiangInstagram.com/graphitepearl_cl7Instagram.com/murphytjpInstragram.com/whitefd1.8aInstagram.com/bluesonic_rx8Instagram.com/maroonfxtInstagram.com/hk_gk3Instagram.com/w2slow04Instagram.com/the.allblack.civicInstagram.com/M5_darkknightInstagram.com/cl7r_zeaaaaaainstagram.com/notcreative_sgnameinstagram.com/evokorkorinstagram.com/lil_blackfdinstagram.com/swifty_babyinstagram.com/greylittlethreeInstagram.com/s2c.detailingInstagram.com/fakesubieinstagram.com/tommythekoupinstagram.com/gapp3d_5ubbieinstagram.com/dorifto_linieInstagram.com/nik_worksInstagram.com/primariusautodetailingInstagram.com/blacklistedgolfInstagram.com/audi_tt_sg/Instagram.com/w4nkzm081l3Instagram.com/_krystinakaryawan_,btohqsg
Ownself add in ah📸 OUR OFFICIAL SOCIAL MEDIAInstagram.com/officialteamscdhttps://vt.tiktok.com/ZSd8uuJCw/-----------------------------✨ DEDICATED WORKSHOP:FDK Leasing & ServicesEnjoy 10% off ALL services just for SCD members!-----------------------------🍻 TRUSTED VALET SERVICEVALET LOR📱 8850 5270instagram.com/valetlor.sgEnjoy $5 off for all SCD member!-----------------------------❤️ BIG BOSS@ODCSS❤️ CHIO BU ADMINInstagram.com/fuwafuwakoup❤️ AHLIAN ADMINinstagram.com/athenathefd2🚪 DOORBOYInstagram.com/drop_gear01👕MECH ADMINhttps://www.instagram.com/thecivicfc📸 PHOTOGRAPHERSInstagram.com/AdwinshootsInstagram.com/_tdgshoots_Instagram.com/car_spotters09Instagram.com/xun.visualsinstagram.com/clickshift.photoInstagram.com/the.dreamy.lenshttps://www.instagram.com/aj_photos__/❤️ MEMBERSInstagram.com/thatsuskoupInstagram.com/tonytannnnnnnnnInstagram.com/yarisedanInstagram.com/iabbear_Instagram.com/boostedglx_Instagram.com/fd1m__Instagram.com/inferno_f10Instagram.com/brendiprolo_34Instagram.com/velostersgInstagram.com/honda_jdm_gkInstagram.com/jxsxph.sInstagram.com/ProjectPengwynInstagram.com/demon_vezzieInstagram.com/zimmy.bobInstagram.com/whitehorse_sginstagram.com/boxxvanInstagram.com/denzel.winstagram.com/16yearolddidiInstagram.com/blueglcInstagram.com/howilson_Instagram.com/bluefitzzInstagram.com/babygabbymk7Instagram.com/itzgrayy_Instagram.com/fake.m2_instagram.com/sgwhitefdInstagram.com/chaojiwhiteInstagram.com/the.street.genieInstagram.com/kennyluafsInstagram.com/audi.shitbox.editioninstagram.com/chrizjuinInstagram.com/tommythekoupInstagram.com/n0t_a_yam3Instagram.com/sfj.m2.sgInstagram.com/v_touranInstagram.com/m.w.qiangInstagram.com/graphitepearl_cl7Instagram.com/murphytjpInstragram.com/whitefd1.8aInstagram.com/bluesonic_rx8Instagram.com/maroonfxtInstagram.com/hk_gk3Instagram.com/w2slow04Instagram.com/the.allblack.civicInstagram.com/M5_darkknightInstagram.com/cl7r_zeaaaaaainstagram.com/notcreative_sgnameinstagram.com/evokorkorinstagram.com/lil_blackfdinstagram.com/swifty_babyinstagram.com/greylittlethreeInstagram.com/s2c.detailingInstagram.com/fakesubieinstagram.com/tommythekoupinstagram.com/gapp3d_5ubbieinstagram.com/dorifto_linieInstagram.com/nik_worksInstagram.com/primariusautodetailingInstagram.com/blacklistedgolfInstagram.com/audi_tt_sg/Instagram.com/w4nkzm081l3Instagram.com/_krystinakaryawan_Instagram.com/white_cayenne,btohqsg
Eh which one latest? Adwin or@arnavguliani,btohqsg
