text,group
I got it frm a website for 10k,btohqsg
Got alot of unregistered cars here,btohqsg
Got a lot in random ass spots as,btohqsg
Actually wait hold tf up this ain’t in Japan,btohqsg
But if I'm not wrong is import frm US,btohqsg
Need to be 25 yes or smth isit,btohqsg
But I tot that one all is track n drift use no?,btohqsg
Track n drift use dunnid regist,btohqsg
bro we have like 10 supras,btohqsg
Cause I ony know mk4s in sg r track n drift,btohqsg
got alot of stock/oem+ ones waiting on plates,btohqsg
Oh i see MB I nvr rlly look into that b4,btohqsg
think a majority of them r from japan,btohqsg
Btw the r34 paul walker car reach sg alr or not?,btohqsg
Uh it's in japan now like this pic was taken long time ago when it was in Italy the 2nd hand driver who sold it to me sent this pic in japan cuz for some reasons he took his car with him  and I still did not touch that beast so yea..,btohqsg
Paul walker r34 coming to sg??????,btohqsg
A collecter won it in auction,btohqsg
Yes  checked back to Aus  but didn’t know it got importer again,btohqsg
Damm I wonder where the guy lives,btohqsg
is ther anything at the retrocar thing,btohqsg
y’all got any pics of the car meet tdy,btohqsg
sg didnt ban  its just because of the registration laws here in Singapore  the law dictates that only cars that are 3 years old and above 35 years old can be registered  when the mk4 supra was released to the public for sale  it was already expensive  almost as expensive as a NSX  so not many people bought them  to my knowledge  only 2 were registered  one on the plate SFL6A  and the other one being the infamous black one that crashed  SGA2773B  it crashed on ecp in 2006  which ended up being scrapped  and SFL6A  was exported by the owner in 2007  therefore cos of the registration law  they cant be registered anymore as by 2007  the car was alr above 3 years old,btohqsg
my own Instagram post with pictures,btohqsg
i mean they shipped it by air so,btohqsg
Wheres the retro havoc meet thing,btohqsg
I am at turf club but lost,btohqsg
Anyone want to meet up there/go together?,btohqsg
guys is there a car meet at kranji?,btohqsg
start and end what time ?,btohqsg
google say got a got b i confused,btohqsg
Anyone at turf club alrd ?,btohqsg
Giveaway.Giving away a Size L Tee for your overwhelming response so far.To participate on Instagram tag 2 friends  follow us & leave a comment to why you would love to receive a tee from us!Repost it on your stories  and for private accounts dm us the proof!And to those who would like to order  Stage 2 of Pre-Orders are still open.Link To Order:https://forms.gle/VoAQBi8HdKnDksoR9@isolated.garms on Instagramt.me/isolatedgarms,btohqsg
Im coming haha! Just finish bathe 😂😂,btohqsg
wait let me ask my friend,btohqsg
Chang  not changi. Buriram  Thailand. Race track + Moto GP circuit,btohqsg
oh my god i juat realised,btohqsg
this turf club event is until what time?,btohqsg
ok guess i'll miss this one,btohqsg
ARJUN LIKE MAKING ME W TO GO,btohqsg
Ok la the event not bad ah. Kinda boring tho.,btohqsg
are there anything at merlinia walk ?,btohqsg
Hello I’m the President of Singapore,btohqsg
Thanks Singapore for voting for me 🗳🇸🇬❤️,btohqsg
said she love me which one,btohqsg
took her paris then she took her panties off,btohqsg
Congrats on the landslide win president,btohqsg
damn I just opened the chat after sending that pic,btohqsg
yk those holes that got something inside,btohqsg
which holes are u talking abt,btohqsg
Powderful watermark i also got from last meet,btohqsg
I screenshot alr its mine now😎,btohqsg
pourin up a red cup im anti,btohqsg
bruh i edit okay” post on tt cam sial,btohqsg
i first time see this so like yeaa,btohqsg
it was hiding so i took it,btohqsg
bruh toys r us in tamp got ntg broo,btohqsg
a lot short card my area sia,btohqsg
Aww sad i wish i can go :(,btohqsg
Btw guys 9&10 sept got RSAF open house !!!,btohqsg
At paya lebar airbase i think,btohqsg
Got food to eat also 😂,btohqsg
bruv how yall get info sia,btohqsg
For those who asked  here’s the official poster for the diecast event!I will be having a booth there as well so if you do drop by  say hiii and it’ll be nice to meet y’all there!,btohqsg
Dei i long time go back alr 💀,btohqsg
join for regular car event info like these heheheh,btohqsg
I no discord cnnt download cus i still owe apple bill BABAHAHHA,btohqsg
U help post here la so ppl know also,btohqsg
And for those who wanna stay up to date on news and updates regarding this! Don’t forget to join my telegram group!!https://t.me/rdnracing,btohqsg
ltr sudd i go “sorry sir u need to pay 188$”,btohqsg
I see the gtr you took pic of,btohqsg
oh okay lucky i malay cnnt drink,btohqsg
can i have the link? it expired,btohqsg
Literally the best car at the meet. And I’m not talking bout the rx7 or r32 😵‍💫,btohqsg
Where can I know when is car meet coming 🥲,btohqsg
just join the discord server lor,btohqsg
i think scm has a separate channel for meets and stuff,btohqsg
But how to join discord ah,btohqsg
The vette and the beach buggy were the best cars there,btohqsg
Can’t compare to the vette and buggy,btohqsg
lowk all common like i see most alr,btohqsg
its mostly the same people that go for meets,btohqsg
but some i didn’t even knew existed in sg,btohqsg
I tell you what is special,btohqsg
idk to me the corvette was i nvr see b4,btohqsg
sg got everything one bro just some rarely come out,btohqsg
or don't come out at all,btohqsg
That for some reason every kid creams looking at it,btohqsg
No black satin wrap and a380 wing,btohqsg
3rd coolest car at the meet,btohqsg
Oni the OGs know of K.I.T.T,btohqsg
I rmb we saw it at Dempsey,btohqsg
quick google will change ur mind,btohqsg
Is that not the one we saw at Dempsey?,btohqsg
its the same car but hammer is 124 not 126,btohqsg
Then who Tf said it was a hammer,btohqsg
No. I got someone to cfm oso,btohqsg
I was like eh is that a hammer,btohqsg
Yo anyone else play asseto corsa?,btohqsg
no one in this chat plays assetto,btohqsg
Took a cinematic on this car,btohqsg
I hae but idl play i waiting for steering wheel setup,btohqsg
Real I'm struggling playing with controller,btohqsg
I play on controller still doable but u play on kb&m dont even bother,btohqsg
I play on kb&m half the time,btohqsg
if u play carx or roblox drifting kb&m nice,btohqsg
but i delete cuz iw play with wheel,btohqsg
hi anyone got old metal beyblades pm!,btohqsg
what did he do to u,btohqsg
i said nice car then he juz ignored lol,btohqsg
mayhe he didnt hear u lol,btohqsg
wth anyhow call ppl prostitute 😭,btohqsg
prob cheated on him thts y he mad,btohqsg
just updated the car-events channel! ^join the discord here:https://discord.gg/V2u4y9rp,btohqsg
not all 124s are Hammers though.,btohqsg
there's a few ways to tell  but they all started out as 300CEs/300Es,btohqsg
how tf u know is prostitute?,btohqsg
He gyat to get rid of this car,btohqsg
no la modern warfare haven comeout yet,btohqsg
wow that yonbi pfp doing justice,btohqsg
Eh just now last warning edy yk,btohqsg
last warning as if u got admins rights to even kick her out,btohqsg
i js saw this car jn afternoon,btohqsg
I did blur on the background so can have more focus on the car,btohqsg
Evo9 quite commonly seen on the road,btohqsg
Fd2r and evo8 is the rare one in my area,btohqsg
Cos that one is AI blur not actual lens,btohqsg
motion blur on a still shot?,btohqsg
Did a bit of shadow reduction on this  still ok?,btohqsg
it’s all about finding the right angle,btohqsg
U wan I send u through pm,btohqsg
dont be so mean abt it,btohqsg
no thanks i’ve seen it alr,btohqsg
This is the worst angle I have taken,btohqsg
Cus we all damn scared to get near that car,btohqsg
So we take from like  5m away?,btohqsg
That time initial d event( if u got go uk what I mean ),btohqsg
lets not shit on other peoples photos,btohqsg
We all squat far away and take photo,btohqsg
The another itasha not full in photo,btohqsg
I wanted to take photo of both itasha,btohqsg
But just realised I didn't include the front of the another itasha,btohqsg
next time  point the camera at the car and make sure the entire thing is on the screen,btohqsg
But this look cute to me,btohqsg
I'm cycling and taking photo boss,btohqsg
Yea I don't plan to post  I keep for personal collection,btohqsg
Cb behind me got a evo3,btohqsg
The v old one   uk those first model one,btohqsg
The one totally look like a ball,btohqsg
Got nf create and got legaloutlaw,btohqsg
Harvest filter is rlly my fav now🥹,btohqsg
Ok I need go investigate more,btohqsg
I don't rlly see much diff between 0 sharpness and 20 sharpness,btohqsg
Just now when u cb I almost decided to quit spotting le,btohqsg
Was Abt to close my spotting IG page sia,btohqsg
i believed in u from the start ♥️,btohqsg
As in stop spotting and stop editing,btohqsg
I edit when I get my camera,btohqsg
i pay him to be Jav actor,btohqsg
But ngl I would crop the light on top,btohqsg
my ham is so cute i can just smash it rn,btohqsg
smash it in between the walls,btohqsg
hazel who is this quiet guy,btohqsg
I ate prata with her once thats all,btohqsg
can u send me unedited I wan try edit,btohqsg
If my stream can do that i happy,btohqsg
aj are u cheating with this japanese wannabe,btohqsg
honestly I don't even know if fallen Knight is a guy or girl,btohqsg
@doublemcspocythis is so you every night,btohqsg
bro istg he looks like someone ik,btohqsg
no the guy ik is chinese,btohqsg
The moment it come out u are sent to heaven,btohqsg
whwt i use it every day,btohqsg
idh. just need to shit everyth out,btohqsg
how i know who u are,btohqsg
Tempted to edit this too but the barrier 🙄,btohqsg
cb u watermark not even ur photo,btohqsg
auto watermark when I export from my editing app,btohqsg
not I spend the time to add it there,btohqsg
okay this edit not bad(if you're intended effect was it being blue) but I would bring up shadows,btohqsg
don't forget bring up grain LOL,btohqsg
Finally figured out how to do watermark,btohqsg
My fat finger almost press on the filter,btohqsg
hope u enjoy my pics 🤩🤩🤩🤩,btohqsg
Imma steal some of ur phptos,btohqsg
go ahead just don't steal the ones that I took,btohqsg
I don't even know the owner ig,btohqsg
I also going offline because gon import my 112 pics from yest,btohqsg
I am in yo walls bruh,btohqsg
truck and train that went past were paid actors fr,btohqsg
hi guys !@rdnracing_YTis live right now on tiktok  find out more about his booth on Expo this coming Saturday. his tiktok is@rdnracing. please do join !,btohqsg
I have to resort to these stupid ass watermarks because of SOMEONE who stole my pic,btohqsg
bro the quality is amazing what phone do u use I want to buy,btohqsg
okay omw to buy it thanks 🙏🙏🙏,btohqsg
ikr looks like from the future,btohqsg
I'm not being a cb the quality so good better than mu eyes,btohqsg
It always have this adds poppimg up though,btohqsg
HAHAHAHHAA I SAW THAT ANGMOH ON TT,btohqsg
bro why yall keep saying cb I'm a rb,btohqsg
i used to be a rb as a kid,btohqsg
nobody gna steal ur pic now,btohqsg
centre back u stay whr sia,btohqsg
HAHAHA HES STILL IN THIS GC?,btohqsg
now who wld do that 😓,btohqsg
mans taking so long to find the perfect sticker,btohqsg
bruv i shld hv stayed till all the cars leave,btohqsg
yeah I gave up finding for the one I was looking for and sent another LOL,btohqsg
this the one i want to send,btohqsg
u shoot 86 I shoot 86 same same,btohqsg
my 86 and your 86 different,btohqsg
mine the better one of course,btohqsg
